steps,w1,w2,w3,w4,w5,w6,second,last
77,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
78,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
79,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
80,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
81,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
82,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
83,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
84,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
85,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
86,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
87,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
88,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
89,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
90,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
91,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
92,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
93,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
94,4.670171084212152,3.1497366138533027,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,8.731122252839814
95,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
96,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
97,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
98,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
99,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
100,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
101,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
102,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
103,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
104,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
105,4.670171084212152,4.845018907538018,1.0,3.978324210242734,4.837121178176604,4.020294810998095,9.951649152049184,9.578763399682172
106,4.670171084212152,4.845018907538018,1.0,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,10.248318890192653
107,4.670171084212152,4.845018907538018,1.0,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,10.248318890192653
108,4.670171084212152,4.845018907538018,1.0,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,10.248318890192653
109,4.670171084212152,4.845018907538018,1.0,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,10.248318890192653
110,4.670171084212152,4.845018907538018,1.0,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,10.248318890192653
111,4.670171084212152,4.845018907538018,1.0,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,10.248318890192653
112,4.670171084212152,4.845018907538018,1.0,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,10.248318890192653
113,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,11.501002852296878
114,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,11.501002852296878
115,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,11.501002852296878
116,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,11.501002852296878
117,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,11.501002852296878
118,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,11.501002852296878
119,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,6.176232159197566,4.020294810998095,9.951649152049184,11.501002852296878
120,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,7.404123318431396,4.020294810998095,9.951649152049184,12.114948431913794
121,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,7.404123318431396,4.020294810998095,9.951649152049184,12.114948431913794
122,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,7.404123318431396,4.020294810998095,9.951649152049184,12.114948431913794
