steps,w1,w2,w3,w4,w5,w6,w7,second,last
99,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
100,1.0,5.577375731167466,3.5411422266514685,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,9.438997999084679
101,1.0,5.577375731167466,3.5411422266514685,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,9.438997999084679
102,1.0,5.577375731167466,3.5411422266514685,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,9.438997999084679
103,1.0,5.577375731167466,3.5411422266514685,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,9.438997999084679
104,1.0,5.577375731167466,3.5411422266514685,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,9.438997999084679
105,1.0,5.577375731167466,3.5411422266514685,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,9.438997999084679
106,1.0,5.577375731167466,3.5411422266514685,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,9.438997999084679
107,1.0,5.577375731167466,3.5411422266514685,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,9.438997999084679
108,1.0,5.577375731167466,3.5411422266514685,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,9.438997999084679
109,1.0,5.577375731167466,5.468344491343942,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,10.402599131430915
110,1.0,5.577375731167466,5.468344491343942,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,10.402599131430915
111,1.0,5.577375731167466,5.468344491343942,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,10.402599131430915
112,1.0,5.577375731167466,5.468344491343942,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,10.402599131430915
113,1.0,5.577375731167466,5.468344491343942,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,10.402599131430915
114,1.0,5.577375731167466,5.468344491343942,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,10.402599131430915
115,1.0,5.577375731167466,5.468344491343942,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,10.402599131430915
116,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.976849059119104,11.848329348817332
117,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.949910252913702,11.794451736406526
118,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
119,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
120,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
121,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
122,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
123,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
124,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
125,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
126,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
127,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
128,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
129,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
130,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
131,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
132,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
133,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
134,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
135,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
136,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
137,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
138,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
139,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
140,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
141,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
142,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
143,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
144,1.0,5.577375731167466,5.468344491343942,4.601059066143507,3.8914604347728337,2.668954164816311,5.582068572914188,9.92307920193312,11.740789634445363
145,1.0,5.577375731167466,5.468344491343942,4.601059066143507,6.0589646559127655,2.668954164816311,5.582068572914188,9.92307920193312,12.82454174501533
146,1.0,5.577375731167466,5.468344491343942,4.601059066143507,6.0589646559127655,2.668954164816311,5.582068572914188,9.92307920193312,12.82454174501533
147,1.0,5.577375731167466,5.468344491343942,4.601059066143507,6.0589646559127655,2.668954164816311,5.582068572914188,9.92307920193312,12.82454174501533
148,1.0,5.577375731167466,5.468344491343942,4.601059066143507,6.0589646559127655,2.668954164816311,5.582068572914188,9.92307920193312,12.82454174501533
149,1.0,5.577375731167466,5.468344491343942,4.601059066143507,6.0589646559127655,2.668954164816311,5.582068572914188,9.92307920193312,12.82454174501533
150,1.0,5.577375731167466,5.468344491343942,4.601059066143507,6.0589646559127655,2.668954164816311,5.582068572914188,9.92307920193312,12.82454174501533
151,1.0,5.577375731167466,5.468344491343942,4.601059066143507,6.0589646559127655,2.668954164816311,5.582068572914188,9.92307920193312,12.82454174501533
152,1.0,5.577375731167466,5.468344491343942,4.601059066143507,6.0589646559127655,2.668954164816311,5.582068572914188,9.92307920193312,12.82454174501533
153,1.0,5.577375731167466,5.468344491343942,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,13.646459345671593
154,1.0,5.577375731167466,5.468344491343942,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,13.646459345671593
155,1.0,5.577375731167466,5.468344491343942,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,13.646459345671593
156,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
157,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
158,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
159,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
160,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
161,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
162,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
163,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
164,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
165,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
166,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
167,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
168,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
169,1.0,5.577375731167466,7.430054825101393,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,14.627314512550319
170,1.0,5.577375731167466,8.917815942223044,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,15.371195071111144
171,1.0,5.577375731167466,8.917815942223044,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,15.371195071111144
172,1.0,5.577375731167466,8.917815942223044,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,15.371195071111144
173,1.0,5.577375731167466,8.917815942223044,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,15.371195071111144
174,1.0,5.577375731167466,8.917815942223044,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,15.371195071111144
175,1.0,5.577375731167466,8.917815942223044,4.601059066143507,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,15.371195071111144
176,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,16.6260351868964
177,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,16.6260351868964
178,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,16.6260351868964
179,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,16.6260351868964
180,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,16.6260351868964
181,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,5.582068572914188,9.92307920193312,16.6260351868964
182,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,7.97458469247321,9.92307920193312,17.82229324667591
183,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,7.97458469247321,9.92307920193312,17.82229324667591
184,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,7.97458469247321,9.92307920193312,17.82229324667591
185,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,7.97458469247321,9.92307920193312,17.82229324667591
186,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,7.97458469247321,9.92307920193312,17.82229324667591
187,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,7.97458469247321,9.92307920193312,17.82229324667591
188,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,18.72953535921269
189,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,18.72953535921269
190,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,18.72953535921269
191,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,18.72953535921269
192,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,18.72953535921269
193,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,18.72953535921269
194,1.0,5.577375731167466,8.917815942223044,7.110739297714019,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,18.72953535921269
195,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
196,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
197,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
198,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
199,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
200,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
201,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
202,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
203,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
204,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
205,1.0,5.577375731167466,8.917815942223044,9.343909612356288,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,19.846120516533826
206,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,20.692938699846177
207,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,9.789068917546771,9.92307920193312,20.692938699846177
208,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.92307920193312,21.534921939899736
209,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.880684863467735,21.450133262968965
210,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.83846010235621,21.365683740745915
211,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.83846010235621,21.365683740745915
212,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.83846010235621,21.365683740745915
213,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.83846010235621,21.365683740745915
214,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.83846010235621,21.365683740745915
215,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.83846010235621,21.365683740745915
216,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.83846010235621,21.365683740745915
217,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.83846010235621,21.365683740745915
218,1.0,5.577375731167466,8.917815942223044,11.037545978980987,7.702799857225291,2.668954164816311,11.473035397653891,9.83846010235621,21.365683740745915
