steps,w1,w2,w3,w4,second,last
44,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
45,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
46,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
47,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
48,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
49,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
50,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
51,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
52,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
53,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
54,2.066134718791288,2.9461981810926523,2.7702463363120002,2.8287753200120607,10.0,4.3056772781040005
55,2.066134718791288,3.768914918128314,2.7702463363120002,2.8287753200120607,10.0,4.717035646621831
56,2.066134718791288,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,4.697601575328587
57,2.066134718791288,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,4.697601575328587
58,2.066134718791288,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,4.697601575328587
59,3.1023107428862167,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,5.215689587376051
60,3.1023107428862167,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,5.215689587376051
61,3.1023107428862167,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,5.215689587376051
62,3.1023107428862167,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,5.215689587376051
63,3.1023107428862167,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,5.215689587376051
64,3.1023107428862167,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,5.215689587376051
65,3.1023107428862167,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,5.215689587376051
66,3.1023107428862167,3.768914918128314,2.7702463363120002,2.8287753200120607,9.990282964353378,5.215689587376051
67,3.1023107428862167,4.515307527536488,2.7702463363120002,2.8287753200120607,9.990282964353378,5.588885892080138
68,3.1023107428862167,4.515307527536488,2.7702463363120002,2.8287753200120607,9.990282964353378,5.588885892080138
69,3.1023107428862167,5.148994852924028,2.7702463363120002,2.8287753200120607,9.990282964353378,5.905729554773909
70,3.1023107428862167,5.148994852924028,2.7702463363120002,2.8287753200120607,9.990282964353378,5.905729554773909
71,3.1023107428862167,5.148994852924028,2.7702463363120002,2.8287753200120607,9.990282964353378,5.905729554773909
72,3.1023107428862167,5.148994852924028,3.7839965788884276,2.8287753200120607,9.990282964353378,6.412604676062122
73,3.1023107428862167,5.148994852924028,3.7839965788884276,2.8287753200120607,9.990282964353378,6.412604676062122
74,3.1023107428862167,5.148994852924028,3.7839965788884276,2.8287753200120607,9.990282964353378,6.412604676062122
75,3.1023107428862167,5.148994852924028,3.7839965788884276,2.8287753200120607,9.990282964353378,6.412604676062122
76,3.1023107428862167,5.148994852924028,3.7839965788884276,3.8804935277347212,9.990282964353378,6.938463779923452
77,3.1023107428862167,5.148994852924028,3.7839965788884276,3.8804935277347212,9.990282964353378,6.938463779923452
78,3.1023107428862167,5.148994852924028,3.7839965788884276,3.8804935277347212,9.990282964353378,6.938463779923452
79,3.1023107428862167,5.148994852924028,3.7839965788884276,3.8804935277347212,9.990282964353378,6.938463779923452
80,3.1023107428862167,5.148994852924028,3.7839965788884276,3.8804935277347212,9.990282964353378,6.938463779923452
81,3.1023107428862167,5.148994852924028,3.7839965788884276,3.8804935277347212,9.990282964353378,6.938463779923452
82,3.1023107428862167,5.148994852924028,3.7839965788884276,4.77340228609126,9.990282964353378,7.384918159101721
83,3.1023107428862167,5.148994852924028,3.7839965788884276,4.77340228609126,9.9779029047121,7.360158039819164
84,3.1023107428862167,5.148994852924028,3.7839965788884276,4.77340228609126,9.9779029047121,7.360158039819164
85,3.1023107428862167,5.148994852924028,3.7839965788884276,4.77340228609126,9.9779029047121,7.360158039819164
86,3.1023107428862167,5.148994852924028,3.7839965788884276,5.527829704341784,9.9779029047121,7.737371748944426
87,3.1023107428862167,5.148994852924028,3.7839965788884276,5.527829704341784,9.9779029047121,7.737371748944426
88,3.1023107428862167,5.148994852924028,3.7839965788884276,5.527829704341784,9.9779029047121,7.737371748944426
89,3.1023107428862167,5.148994852924028,3.7839965788884276,5.527829704341784,9.9779029047121,7.737371748944426
90,3.1023107428862167,5.148994852924028,3.7839965788884276,5.527829704341784,9.9779029047121,7.737371748944426
91,3.1023107428862167,5.148994852924028,3.7839965788884276,5.527829704341784,9.9779029047121,7.737371748944426
92,3.1023107428862167,5.148994852924028,3.7839965788884276,5.527829704341784,9.9779029047121,7.737371748944426
93,3.1023107428862167,5.148994852924028,3.7839965788884276,5.527829704341784,9.9779029047121,7.737371748944426
94,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
95,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
96,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
97,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
98,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
99,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
100,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
101,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
102,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
103,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
104,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
105,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
106,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
107,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
108,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
109,3.1023107428862167,5.865270701302274,3.7839965788884276,5.527829704341784,9.9779029047121,8.095509673133549
110,3.1023107428862167,5.865270701302274,3.7839965788884276,6.203436099007012,9.9779029047121,8.433312870466164
111,3.1023107428862167,5.865270701302274,3.7839965788884276,6.203436099007012,9.9779029047121,8.433312870466164
112,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.9779029047121,8.753924324772028
113,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.964160028934971,8.726438573217772
114,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.950451510347285,8.699021536042402
115,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.950451510347285,8.699021536042402
116,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.950451510347285,8.699021536042402
117,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.950451510347285,8.699021536042402
118,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.950451510347285,8.699021536042402
119,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.950451510347285,8.699021536042402
120,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.950451510347285,8.699021536042402
121,3.1023107428862167,6.506493609914001,3.7839965788884276,6.203436099007012,9.950451510347285,8.699021536042402
122,3.1023107428862167,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,8.96717158007927
123,3.1023107428862167,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,8.96717158007927
124,3.1023107428862167,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,8.96717158007927
125,3.1023107428862167,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,8.96717158007927
126,3.1023107428862167,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,8.96717158007927
