steps,w1,w2,w3,w4,w5,second,last
50,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,5.5817563082142705,9.97208408454331,6.1203804819495895
51,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,5.5817563082142705,9.97208408454331,6.1203804819495895
52,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,6.146575128163862,9.97208408454331,6.402789891924385
53,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,6.146575128163862,9.97208408454331,6.402789891924385
54,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,6.146575128163862,9.97208408454331,6.402789891924385
55,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,6.146575128163862,9.97208408454331,6.402789891924385
56,2.9381132799999996,2.2457847212128037,3.5867703162988724,1.0,6.146575128163862,9.97208408454331,6.402789891924385
57,2.9381132799999996,2.2457847212128037,3.5867703162988724,2.697651680534053,6.146575128163862,9.97208408454331,7.251615732191412
58,2.9381132799999996,2.2457847212128037,3.5867703162988724,2.697651680534053,6.146575128163862,9.97208408454331,7.251615732191412
59,2.9381132799999996,2.2457847212128037,3.5867703162988724,2.697651680534053,6.146575128163862,9.97208408454331,7.251615732191412
60,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.97208408454331,7.839940093910275
61,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
62,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
63,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
64,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
65,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
66,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
67,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
68,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
69,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
70,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
71,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
72,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
73,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
74,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
75,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
76,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
77,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.146575128163862,9.956692905979892,7.809157736783438
78,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.772609164480678,9.956692905979892,8.122174754941845
79,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.772609164480678,9.956692905979892,8.122174754941845
80,2.9381132799999996,2.2457847212128037,4.763419039736599,2.697651680534053,6.772609164480678,9.956692905979892,8.122174754941845
81,2.9381132799999996,2.2457847212128037,5.758221338611388,2.697651680534053,6.772609164480678,9.956692905979892,8.61957590437924
82,2.9381132799999996,2.2457847212128037,5.758221338611388,2.697651680534053,6.772609164480678,9.94037539915105,8.586940890721554
83,2.9381132799999996,2.2457847212128037,5.758221338611388,2.697651680534053,6.772609164480678,9.94037539915105,8.586940890721554
84,2.9381132799999996,2.2457847212128037,5.758221338611388,2.697651680534053,6.772609164480678,9.94037539915105,8.586940890721554
85,2.9381132799999996,2.2457847212128037,5.758221338611388,2.697651680534053,6.772609164480678,9.94037539915105,8.586940890721554
86,2.9381132799999996,2.2457847212128037,5.758221338611388,2.697651680534053,6.772609164480678,9.94037539915105,8.586940890721554
87,2.9381132799999996,2.2457847212128037,5.758221338611388,2.697651680534053,7.337923811173314,9.94037539915105,8.869598214067873
88,2.9381132799999996,2.2457847212128037,5.758221338611388,2.697651680534053,7.337923811173314,9.94037539915105,8.869598214067873
89,2.9381132799999996,2.2457847212128037,5.758221338611388,2.697651680534053,7.337923811173314,9.94037539915105,8.869598214067873
90,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.337923811173314,9.94037539915105,9.29060232713127
91,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.337923811173314,9.94037539915105,9.29060232713127
92,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.337923811173314,9.94037539915105,9.29060232713127
93,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.337923811173314,9.94037539915105,9.29060232713127
94,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.337923811173314,9.94037539915105,9.29060232713127
95,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.337923811173314,9.94037539915105,9.29060232713127
96,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.8503135275815,9.94037539915105,9.546797185335363
97,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.8503135275815,9.922955017289157,9.511956421611577
98,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.8503135275815,9.922955017289157,9.511956421611577
99,2.9381132799999996,2.2457847212128037,6.60022956473818,2.697651680534053,7.8503135275815,9.922955017289157,9.511956421611577
100,4.530419224035473,2.2457847212128037,6.60022956473818,2.697651680534053,7.8503135275815,9.922955017289157,10.308109393629314
101,4.530419224035473,2.2457847212128037,6.60022956473818,2.697651680534053,7.8503135275815,9.922955017289157,10.308109393629314
102,4.530419224035473,2.2457847212128037,6.60022956473818,2.697651680534053,7.8503135275815,9.922955017289157,10.308109393629314
103,4.530419224035473,2.2457847212128037,6.60022956473818,2.697651680534053,7.8503135275815,9.922955017289157,10.308109393629314
104,4.530419224035473,2.2457847212128037,6.60022956473818,2.697651680534053,8.3573190017067,9.922955017289157,10.561612130691914
105,4.530419224035473,2.2457847212128037,6.60022956473818,2.697651680534053,8.3573190017067,9.922955017289157,10.561612130691914
106,4.530419224035473,2.2457847212128037,6.60022956473818,2.697651680534053,8.3573190017067,9.922955017289157,10.561612130691914
107,4.530419224035473,2.2457847212128037,6.60022956473818,2.697651680534053,8.3573190017067,9.922955017289157,10.561612130691914
108,4.530419224035473,2.2457847212128037,6.60022956473818,4.471107919829201,8.3573190017067,9.922955017289157,11.448340250339488
109,4.530419224035473,2.2457847212128037,6.60022956473818,4.471107919829201,8.3573190017067,9.903263235978375,11.408956687717925
110,4.530419224035473,2.2457847212128037,6.60022956473818,4.471107919829201,8.3573190017067,9.903263235978375,11.408956687717925
111,4.530419224035473,2.2457847212128037,6.60022956473818,4.471107919829201,8.3573190017067,9.903263235978375,11.408956687717925
112,4.530419224035473,2.2457847212128037,6.60022956473818,4.471107919829201,8.3573190017067,9.903263235978375,11.408956687717925
113,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.3573190017067,9.903263235978375,12.131524226793351
114,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.3573190017067,9.882763448964637,12.090524652765872
115,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.3573190017067,9.882763448964637,12.090524652765872
116,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.3573190017067,9.882763448964637,12.090524652765872
117,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.3573190017067,9.882763448964637,12.090524652765872
118,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.3573190017067,9.882763448964637,12.090524652765872
119,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.3573190017067,9.882763448964637,12.090524652765872
120,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.3573190017067,9.882763448964637,12.090524652765872
121,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.947480438199356,9.882763448964637,12.3856053710122
122,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.947480438199356,9.882763448964637,12.3856053710122
123,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.947480438199356,9.882763448964637,12.3856053710122
124,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.947480438199356,9.882763448964637,12.3856053710122
125,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.947480438199356,9.882763448964637,12.3856053710122
126,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.947480438199356,9.882763448964637,12.3856053710122
127,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,8.947480438199356,9.882763448964637,12.3856053710122
128,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,9.430704622399544,9.882763448964637,12.627217463112295
129,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,9.430704622399544,9.861681129939523,12.585052825062068
130,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,12.543014680925992
131,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,12.543014680925992
132,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,12.543014680925992
133,4.530419224035473,2.2457847212128037,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,12.543014680925992
134,4.530419224035473,4.350925567073759,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,13.59558510385647
135,4.530419224035473,4.350925567073759,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,13.59558510385647
136,4.530419224035473,4.350925567073759,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,13.59558510385647
137,4.530419224035473,4.350925567073759,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,13.59558510385647
138,4.530419224035473,6.07461489166471,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,14.457429766151945
139,4.530419224035473,6.07461489166471,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,14.457429766151945
140,4.530419224035473,6.07461489166471,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,14.457429766151945
141,4.530419224035473,6.07461489166471,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,14.457429766151945
142,4.530419224035473,6.07461489166471,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,14.457429766151945
143,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
144,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
145,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
146,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
147,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
148,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
149,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
150,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
151,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
152,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
153,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
154,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
155,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
156,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
157,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
158,4.530419224035473,7.48597171063978,6.60022956473818,5.916242997980052,9.430704622399544,9.840662057871485,15.163108175639481
159,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.840662057871485,15.929285102847043
160,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
161,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
162,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
163,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
164,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
165,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
166,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
167,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
168,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
169,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
170,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
171,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
172,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
173,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
174,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
175,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
176,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
177,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
178,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
179,4.530419224035473,7.48597171063978,6.60022956473818,7.448596852395175,9.430704622399544,9.815642518513346,15.879246024130763
180,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
181,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
182,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
183,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
184,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
185,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
186,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
187,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
188,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
189,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
190,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
191,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
192,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
193,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
194,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
195,4.530419224035473,7.48597171063978,6.60022956473818,8.694431271457496,9.430704622399544,9.815642518513346,16.502163233661925
196,4.530419224035473,7.48597171063978,6.60022956473818,9.714520493785724,9.430704622399544,9.815642518513346,17.01220784482604
