steps,w1,w2,w3,w4,second,last
193,6.713357546,8.079461619,9.523024369,7.065380808,9.880712312,14.45203679
194,6.713357546,8.079461619,9.523024369,7.065380808,9.861319919,14.41325201
195,6.713357546,8.079461619,9.523024369,7.065380808,9.861319919,14.41325201
196,6.713357546,8.079461619,9.523024369,7.065380808,9.861319919,14.41325201
197,6.713357546,8.079461619,9.523024369,7.065380808,9.861319919,14.41325201
198,6.713357546,8.852338664,9.523024369,7.065380808,9.861319919,14.79969053
199,6.713357546,8.852338664,9.523024369,7.065380808,9.861319919,14.79969053
200,6.713357546,8.852338664,9.523024369,7.065380808,9.861319919,14.79969053
201,6.713357546,8.852338664,9.523024369,7.065380808,9.861319919,14.79969053
202,6.713357546,8.852338664,9.523024369,7.065380808,9.861319919,14.79969053
203,6.713357546,8.852338664,9.523024369,7.065380808,9.861319919,14.79969053
204,6.713357546,8.852338664,9.523024369,7.065380808,9.861319919,14.79969053
205,6.713357546,8.852338664,9.523024369,7.065380808,9.861319919,14.79969053
206,6.713357546,8.852338664,9.523024369,7.065380808,9.861319919,14.79969053
207,6.713357546,8.852338664,10.04505984,7.065380808,9.861319919,15.06070827
208,6.713357546,8.852338664,10.04505984,7.065380808,9.841328551,15.02072553
209,6.713357546,8.852338664,10.04505984,7.065380808,9.841328551,15.02072553
210,6.713357546,9.528193559,10.04505984,7.065380808,9.841328551,15.35865298
211,6.713357546,9.528193559,10.04505984,7.065380808,9.841328551,15.35865298
212,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
213,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
214,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
215,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
216,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
217,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
218,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
219,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
220,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
221,6.713357546,10.10199437,10.04505984,7.065380808,9.841328551,15.64555338
222,6.713357546,10.10199437,10.04505984,8.159860404,9.841328551,16.19279318
223,6.713357546,10.10199437,10.04505984,8.159860404,9.820215093,16.15056626
224,6.713357546,10.10199437,10.04505984,8.159860404,9.820215093,16.15056626
225,6.713357546,10.10199437,10.04505984,8.159860404,9.820215093,16.15056626
226,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
227,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
228,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
229,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
230,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
231,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
232,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
233,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
234,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
235,6.713357546,10.10199437,10.59100466,8.159860404,9.820215093,16.42353867
236,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
237,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
238,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
239,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
240,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
241,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
242,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
243,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
244,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
245,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
246,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
247,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
248,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
249,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
250,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
251,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
252,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
253,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
254,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
255,6.713357546,10.10199437,10.59100466,9.109596407,9.820215093,16.89840668
256,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
257,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
258,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
259,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
260,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
261,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
262,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
263,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
264,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
265,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
