steps,w1,w2,w3,second,last
1,1.0,1.0,1.0,10.0,1.0
2,1.0,1.0,1.7104,10.0,1.3552
3,1.0,1.0,1.7104,10.0,1.3552
4,1.0,1.0,1.7104,10.0,1.3552
5,1.0,1.0,1.7104,10.0,1.3552
6,1.0,1.0,1.7104,10.0,1.3552
7,1.0,1.0,1.7104,10.0,1.3552
8,1.0,1.0,1.7104,10.0,1.3552
9,1.0,1.0,1.7104,10.0,1.3552
10,1.0,1.0,1.7104,10.0,1.3552
11,1.0,1.0,2.3349836799999997,10.0,1.6674918399999998
12,1.0,1.0,2.3349836799999997,10.0,1.6674918399999998
13,1.0,1.762731360256,2.3349836799999997,10.0,2.0488575201279997
14,1.0,1.762731360256,2.3349836799999997,10.0,2.0488575201279997
15,1.0,1.762731360256,2.3349836799999997,10.0,2.0488575201279997
16,1.0,1.762731360256,2.3349836799999997,10.0,2.0488575201279997
17,1.0,1.762731360256,2.3349836799999997,10.0,2.0488575201279997
18,1.0,1.762731360256,2.3349836799999997,10.0,2.0488575201279997
19,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
20,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
21,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
22,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
23,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
24,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
25,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
26,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
27,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
28,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
29,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
30,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
31,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
32,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
33,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
34,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
35,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
36,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
37,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
38,1.792630429578035,1.762731360256,2.3349836799999997,10.0,2.4451727349170174
39,2.4895111032630437,1.762731360256,2.3349836799999997,10.0,2.7936130717595216
40,2.4895111032630437,1.762731360256,2.3349836799999997,10.0,2.7936130717595216
41,3.102208591566903,1.762731360256,2.3349836799999997,10.0,3.0999618159114513
42,3.102208591566903,1.762731360256,2.3349836799999997,9.993520030547272,3.0870018770059926
43,3.102208591566903,1.762731360256,2.3349836799999997,9.993520030547272,3.0870018770059926
44,3.102208591566903,1.762731360256,2.3349836799999997,9.993520030547272,3.0870018770059926
45,3.102208591566903,1.762731360256,2.3349836799999997,9.993520030547272,3.0870018770059926
46,3.6393629504928127,1.762731360256,2.3349836799999997,9.993520030547272,3.3555790564689474
47,3.6393629504928127,1.762731360256,2.3349836799999997,9.993520030547272,3.3555790564689474
48,3.6393629504928127,1.762731360256,2.3349836799999997,9.993520030547272,3.3555790564689474
49,3.6393629504928127,1.762731360256,2.3349836799999997,9.993520030547272,3.3555790564689474
50,3.6393629504928127,1.762731360256,3.015950475646509,9.993520030547272,3.696062454292202
51,3.6393629504928127,1.762731360256,3.015950475646509,9.993520030547272,3.696062454292202
52,3.6393629504928127,1.762731360256,3.61465648237892,9.993520030547272,3.9954154576584076
53,3.6393629504928127,1.762731360256,3.61465648237892,9.993520030547272,3.9954154576584076
54,4.161792236713725,1.762731360256,3.61465648237892,9.993520030547272,4.256630100768864
55,4.161792236713725,1.762731360256,3.61465648237892,9.993520030547272,4.256630100768864
56,4.161792236713725,1.762731360256,3.61465648237892,9.993520030547272,4.256630100768864
57,4.161792236713725,1.762731360256,3.61465648237892,9.993520030547272,4.256630100768864
58,4.161792236713725,1.762731360256,3.61465648237892,9.993520030547272,4.256630100768864
59,4.161792236713725,1.762731360256,4.161518031517915,9.993520030547272,4.5300608753383615
60,4.161792236713725,1.762731360256,4.161518031517915,9.993520030547272,4.5300608753383615
61,4.161792236713725,2.6273379016609115,4.161518031517915,9.993520030547272,4.962364146040818
62,4.161792236713725,2.6273379016609115,4.161518031517915,9.98555273121822,4.9464295473827145
63,4.161792236713725,2.6273379016609115,4.161518031517915,9.98555273121822,4.9464295473827145
64,4.161792236713725,2.6273379016609115,4.161518031517915,9.98555273121822,4.9464295473827145
65,4.674561331666816,2.6273379016609115,4.161518031517915,9.98555273121822,5.20281409485926
66,4.674561331666816,2.6273379016609115,4.161518031517915,9.98555273121822,5.20281409485926
67,4.674561331666816,3.405720238744615,4.161518031517915,9.98555273121822,5.592005263401112
68,4.674561331666816,3.405720238744615,4.161518031517915,9.98555273121822,5.592005263401112
69,4.674561331666816,3.405720238744615,4.161518031517915,9.98555273121822,5.592005263401112
70,4.674561331666816,3.405720238744615,4.72494413543818,9.98555273121822,5.873718315361244
71,4.674561331666816,3.405720238744615,4.72494413543818,9.98555273121822,5.873718315361244
72,4.674561331666816,3.405720238744615,4.72494413543818,9.98555273121822,5.873718315361244
73,4.674561331666816,3.405720238744615,4.72494413543818,9.98555273121822,5.873718315361244
74,4.674561331666816,3.405720238744615,4.72494413543818,9.98555273121822,5.873718315361244
75,4.674561331666816,4.112160292782281,4.72494413543818,9.98555273121822,6.226938342380077
76,4.674561331666816,4.112160292782281,4.72494413543818,9.98555273121822,6.226938342380077
77,4.674561331666816,4.733262388292197,4.72494413543818,9.98555273121822,6.537489390135035
78,4.674561331666816,4.733262388292197,4.72494413543818,9.98555273121822,6.537489390135035
79,4.674561331666816,5.279335350664516,4.72494413543818,9.98555273121822,6.810525871321195
80,4.674561331666816,5.279335350664516,4.72494413543818,9.98555273121822,6.810525871321195
81,4.674561331666816,5.279335350664516,4.72494413543818,9.98555273121822,6.810525871321195
82,4.674561331666816,5.279335350664516,4.72494413543818,9.98555273121822,6.810525871321195
83,4.674561331666816,5.759442699182258,4.72494413543818,9.98555273121822,7.050579545580066
84,4.674561331666816,5.759442699182258,4.72494413543818,9.97591804648927,7.0313101761221635
85,4.674561331666816,5.759442699182258,4.72494413543818,9.97591804648927,7.0313101761221635
86,4.674561331666816,5.759442699182258,4.72494413543818,9.97591804648927,7.0313101761221635
87,4.674561331666816,5.759442699182258,4.72494413543818,9.97591804648927,7.0313101761221635
88,4.674561331666816,5.759442699182258,4.72494413543818,9.97591804648927,7.0313101761221635
89,4.674561331666816,5.759442699182258,4.72494413543818,9.97591804648927,7.0313101761221635
90,4.674561331666816,5.759442699182258,4.72494413543818,9.97591804648927,7.0313101761221635
91,4.674561331666816,5.759442699182258,4.72494413543818,9.97591804648927,7.0313101761221635
92,4.674561331666816,5.759442699182258,4.72494413543818,9.97591804648927,7.0313101761221635
93,4.674561331666816,6.179279294403024,4.72494413543818,9.97591804648927,7.241228473732547
94,4.674561331666816,6.179279294403024,4.72494413543818,9.97591804648927,7.241228473732547
95,4.674561331666816,6.179279294403024,4.72494413543818,9.97591804648927,7.241228473732547
96,4.674561331666816,6.179279294403024,4.72494413543818,9.97591804648927,7.241228473732547
97,4.674561331666816,6.179279294403024,4.72494413543818,9.97591804648927,7.241228473732547
